Product.Name;Well_ID_384;Row_ID_384;Col_ID_384;Target;Pathway;concentration;Library_ID
Tivantinib (ARQ 197);A13;A;13;c-Met;Protein Tyrosine Kinase;NA;3
Butein;A14;A;14;EGFR;Protein Tyrosine Kinase;NA;3
MK-2461;A15;A;15;c-Met, FGFR, PDGFR;Protein Tyrosine Kinase;NA;3
DMSO;A16;A;16;NA;NA;NA;3
Dabrafenib (GSK2118436);A17;A;17;Raf;MAPK;NA;3
DMSO;A18;A;18;NA;NA;NA;3
TPCA-1;A19;A;19;IKK;NF-_B;NA;3
DMSO;A20;A;20;NA;NA;NA;3
IKK-16 (IKK Inhibitor VII);A21;A;21;IKK;NF-_B;NA;3
DMSO;A22;A;22;NA;NA;NA;3
DMSO;A23;A;23;NA;NA;NA;3
DMSO;A24;A;24;NA;NA;NA;3
PF-477736;B01;B;1;Chk;Cell Cycle;NA;3
Y-27632 2HCl;B02;B;2;ROCK;Others;NA;3
Piceatannol;B03;B;3;Syk;Angiogenesis;NA;3
Avagacestat (BMS-708163);B04;B;4;Gamma-secretase;Proteases;NA;3
AP26113;B05;B;5;ALK;Protein Tyrosine Kinase;NA;3
TWS119;B06;B;6;GSK-3;PI3K/Akt/mTOR;NA;3
PD168393;B07;B;7;EGFR;Protein Tyrosine Kinase;NA;3
AZ 960;B08;B;8;JAK;JAK/STAT;NA;3
RN486;B09;B;9;BTK;Angiogenesis;NA;3
MK-0752;B10;B;10;Gamma-secretase;Proteases;NA;3
AZD3463;B11;B;11;ALK;Protein Tyrosine Kinase;NA;3
CHIR-98014;B12;B;12;GSK-3;PI3K/Akt/mTOR;NA;3
SSR128129E;B13;B;13;FGFR;Angiogenesis;NA;3
WHI-P154;B14;B;14;JAK, EGFR;JAK/STAT;NA;3
GF109203X;B15;B;15;PKC;TGF-beta/Smad;NA;3
IWR-1-endo;B16;B;16;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
FRAX597;B17;B;17;PAK;Cytoskeletal Signaling;NA;3
BIO;B18;B;18;GSK-3;PI3K/Akt/mTOR;NA;3
TG003;B19;B;19;CDK;Cell Cycle;NA;3
K02288;B20;B;20;TGF-beta/Smad;TGF-beta/Smad;NA;3
KN-62;B21;B;21;Ca2+/calmodulin-dependent protein kinase II (CaMKII);Others;NA;3
Filgotinib (GLPG0634);B22;B;22;JAK;JAK/STAT;NA;3
DMSO;B23;B;23;NA;NA;NA;3
DMSO;B24;B;24;NA;NA;NA;3
Phenformin HCl;C01;C;1;AMPK;PI3K/Akt/mTOR;NA;3
Filgotinib (GLPG0634);C02;C;2;JAK;JAK/STAT;NA;3
DCC-2036 (Rebastinib);C03;C;3;Bcr-Abl;Angiogenesis;NA;3
DMSO;C04;C;4;NA;NA;NA;3
Trametinib (GSK1120212);C05;C;5;MEK;MAPK;NA;3
SU6656;C06;C;6;Src;Angiogenesis;NA;3
WAY-600;C07;C;7;mTOR;PI3K/Akt/mTOR;NA;3
DMSO;C08;C;8;NA;NA;NA;3
AMG-900;C09;C;9;Aurora Kinase;Cell Cycle;NA;3
AZD3759;C10;C;10;EGFR;Protein Tyrosine Kinase;NA;3
PHA-767491;C11;C;11;CDK;Cell Cycle;NA;3
DMSO;C12;C;12;NA;NA;NA;3
Varlitinib;C13;C;13;EGFR;Protein Tyrosine Kinase;NA;3
GDC-0349;C14;C;14;mTOR;PI3K/Akt/mTOR;NA;3
AZD2014;C15;C;15;mTOR;PI3K/Akt/mTOR;NA;3
DMSO;C16;C;16;NA;NA;NA;3
GDC-0068;C17;C;17;Akt;PI3K/Akt/mTOR;NA;3
DMSO;C18;C;18;NA;NA;NA;3
SAR131675;C19;C;19;VEGFR;Protein Tyrosine Kinase;NA;3
DMSO;C20;C;20;NA;NA;NA;3
PF-562271;C21;C;21;FAK;Angiogenesis;NA;3
DMSO;C22;C;22;NA;NA;NA;3
DMSO;C23;C;23;NA;NA;NA;3
DMSO;C24;C;24;NA;NA;NA;3
Go 6983;D01;D;1;PKC;TGF-beta/Smad;NA;3
Enzastaurin (LY317615);D02;D;2;PKC;Neuronal Signaling;NA;3
Schisandrin B (Sch B);D03;D;3;ATM/ATR;PI3K/Akt/mTOR;NA;3
Ruxolitinib (INCB018424);D04;D;4;JAK;JAK/STAT;NA;3
AZD2932;D05;D;5;PDGFR;Protein Tyrosine Kinase;NA;3
Semagacestat (LY450139);D06;D;6;Gamma-secretase;Proteases;NA;3
CX-6258 HCl;D07;D;7;Pim;JAK/STAT;NA;3
DAPT (GSI-IX);D08;D;8;Gamma-secretase, Beta Amyloid;Proteases;NA;3
LDK378;D09;D;9;ALK;Protein Tyrosine Kinase;NA;3
ICG-001;D10;D;10;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
NU6027;D11;D;11;CDK;Cell Cycle;NA;3
GW788388;D12;D;12;TGF-beta/Smad;TGF-beta/Smad;NA;3
AVL-292;D13;D;13;BTK;Angiogenesis;NA;3
S-Ruxolitinib (INCB018424);D14;D;14;JAK;JAK/STAT;NA;3
GSK650394;D15;D;15;SGK;Others;NA;3
SANT-1;D16;D;16;Smoothened;Stem Cells &  Wnt;NA;3
CO-1686 (AVL-301);D17;D;17;EGFR;Protein Tyrosine Kinase;NA;3
Ro 31-8220 Mesylate;D18;D;18;PKC;TGF-beta/Smad;NA;3
ERK5-IN-1;D19;D;19;ERK;MAPK;NA;3
AR-A014418;D20;D;20;GSK-3;PI3K/Akt/mTOR;NA;3
KN-93 Phosphate;D21;D;21;CaMK;Others;NA;3
STA-21;D22;D;22;STAT;JAK/STAT;NA;3
DMSO;D23;D;23;NA;NA;NA;3
DMSO;D24;D;24;NA;NA;NA;3
Daphnetin;E01;E;1;PKA/PKC/EGFR;DNA Damage;NA;3
LDN-214117;E02;E;2;TGF-beta/Smad;TGF-beta/Smad;NA;3
CCT128930;E03;E;3;Akt;PI3K/Akt/mTOR;NA;3
DMSO;E04;E;4;NA;NA;NA;3
Flavopiridol HCl;E05;E;5;CDK;Cell Cycle;NA;3
Akti-1/2;E06;E;6;Akt;PI3K/Akt/mTOR;NA;3
TG101209;E07;E;7;Flt, JAK, c-RET;JAK/STAT;NA;3
DMSO;E08;E;8;NA;NA;NA;3
ZM 336372;E09;E;9;Raf;MAPK;NA;3
VPS34-IN1;E10;E;10;PI3K;PI3K/Akt/mTOR;NA;3
PF-04691502;E11;E;11;mTOR, PI3K, Akt;PI3K/Akt/mTOR;NA;3
DMSO;E12;E;12;NA;NA;NA;3
CUDC-907;E13;E;13;HDAC, PI3K;Cytoskeletal Signaling;NA;3
Cobimetinib (GDC-0973, RG7420);E14;E;14;MEK;MAPK;NA;3
TAK-285;E15;E;15;EGFR, HER2;Protein Tyrosine Kinase;NA;3
DMSO;E16;E;16;NA;NA;NA;3
INK 128 (MLN0128);E17;E;17;mTOR;PI3K/Akt/mTOR;NA;3
DMSO;E18;E;18;NA;NA;NA;3
BI-D1870;E19;E;19;S6 Kinase;PI3K/Akt/mTOR;NA;3
DMSO;E20;E;20;NA;NA;NA;3
GW441756;E21;E;21;Trk Receptor;Protein Tyrosine Kinase;NA;3
DMSO;E22;E;22;NA;NA;NA;3
DMSO;E23;E;23;NA;NA;NA;3
DMSO;E24;E;24;NA;NA;NA;3
BAY 11-7082;F01;F;1;I_B/IKK;NF-_B;NA;3
SB431542;F02;F;2;TGF-beta/Smad;Others;NA;3
Cabozantinib malate (XL184);F03;F;3;VEGFR;Protein Tyrosine Kinase;NA;3
Thiazovivin;F04;F;4;ROCK;Cell Cycle;NA;3
MEK162 (ARRY-162, ARRY-438162);F05;F;5;MEK;MAPK;NA;3
Theophylline;F06;F;6;TGF-beta/Smad;TGF-beta/Smad;NA;3
AZ20;F07;F;7;ATM/ATR;PI3K/Akt/mTOR;NA;3
CYT387;F08;F;8;JAK;JAK/STAT;NA;3
GSK2334470;F09;F;9;PDK-1;PI3K/Akt/mTOR;NA;3
NVP-BSK805 2HCl;F10;F;10;JAK;JAK/STAT;NA;3
MLN2480;F11;F;11;Raf;MAPK;NA;3
PF-5274857;F12;F;12;Hedgehog/Smoothened;Stem Cells &  Wnt;NA;3
SKI II;F13;F;13;sphingosine kinase (SphK);GPCR & G Protein;NA;3
Pirfenidone;F14;F;14;TGF-beta/Smad;TGF-beta/Smad;NA;3
Skepinone-L;F15;F;15;p38 MAPK;MAPK;NA;3
KY02111;F16;F;16;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
PFK15;F17;F;17;6-phosphofructo-2-kinase (PFKFB3);Others;NA;3
GF109203X;F18;F;18;PKC;TGF-beta/Smad;NA;3
URMC-099;F19;F;19;"Abl1; LRRK2; MLK3; MLK1";Others;NA;3
FH535;F20;F;20;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
AR-A014418;F21;F;21;GSK-3;PI3K/Akt/mTOR;NA;3
ZM 39923 HCl;F22;F;22;JAK;JAK/STAT;NA;3
DMSO;F23;F;23;NA;NA;NA;3
DMSO;F24;F;24;NA;NA;NA;3
TAK-733;G01;G;1;MEK;MAPK;NA;3
SU9516;G02;G;2;CDK;Cell Cycle;NA;3
A66;G03;G;3;PI3K;PI3K/Akt/mTOR;NA;3
DMSO;G04;G;4;NA;NA;NA;3
Ibrutinib (PCI-32765);G05;G;5;Src;Angiogenesis;NA;3
Purvalanol A;G06;G;6;CDK;Cell Cycle;NA;3
GDC-0980 (RG7422);G07;G;7;mTOR, PI3K;PI3K/Akt/mTOR;NA;3
DMSO;G08;G;8;NA;NA;NA;3
PH-797804;G09;G;9;p38 MAPK;MAPK;NA;3
Entrectinib (RXDX-101);G10;G;10;Trk receptor;Protein Tyrosine Kinase;NA;3
CHIR-98014;G11;G;11;GSK-3;PI3K/Akt/mTOR;NA;3
DMSO;G12;G;12;NA;NA;NA;3
NVP-BVU972;G13;G;13;c-Met;Protein Tyrosine Kinase;NA;3
BMS-345541;G14;G;14;I_B/IKK;NF-_B;NA;3
Tofacitinib (CP-690550,Tasocitinib);G15;G;15;JAK;JAK/STAT;NA;3
DMSO;G16;G;16;NA;NA;NA;3
BYL719;G17;G;17;PI3K;PI3K/Akt/mTOR;NA;3
DMSO;G18;G;18;NA;NA;NA;3
Semaxanib (SU5416);G19;G;19;VEGFR;Protein Tyrosine Kinase;NA;3
DMSO;G20;G;20;NA;NA;NA;3
Tyrphostin 9;G21;G;21;EGFR;Protein Tyrosine Kinase;NA;3
DMSO;G22;G;22;NA;NA;NA;3
DMSO;G23;G;23;NA;NA;NA;3
DMSO;G24;G;24;NA;NA;NA;3
Icotinib;H01;H;1;EGFR;Protein Tyrosine Kinase;NA;3
SB216763;H02;H;2;GSK-3;Others;NA;3
JNK-IN-8;H03;H;3;JNK;MAPK;NA;3
GSK429286A;H04;H;4;ROCK;Cell Cycle;NA;3
PP2;H05;H;5;Src;Angiogenesis;NA;3
LDE225 (NVP-LDE225,Erismodegib);H06;H;6;Smoothened;Stem Cells &  Wnt;NA;3
CGI1746;H07;H;7;BTK;Angiogenesis;NA;3
LY2157299;H08;H;8;TGF-beta/Smad;TGF-beta/Smad;NA;3
Zotarolimus(ABT-578);H09;H;9;mTOR;PI3K/Akt/mTOR;NA;3
TG101209;H10;H;10;Flt, JAK, c-RET;JAK/STAT;NA;3
TIC10 Analogue;H11;H;11;Akt;PI3K/Akt/mTOR;NA;3
Tofacitinib (CP-690550,Tasocitinib);H12;H;12;JAK;JAK/STAT;NA;3
PF-543;H13;H;13;SphK1;GPCR & G Protein;NA;3
Go 6983;H14;H;14;PKC;TGF-beta/Smad;NA;3
Losmapimod (GW856553X);H15;H;15;p38 MAPK;MAPK;NA;3
BMS-833923;H16;H;16;Hedgehog/Smoothened;GPCR & G Protein;NA;3
TAK-632;H17;H;17;Raf;MAPK;NA;3
RepSox;H18;H;18;TGF-beta/Smad;TGF-beta/Smad;NA;3
Bay 11-7085;H19;H;19;I_B/IKK;NF-_B;NA;3
WIKI4;H20;H;20;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
LDC000067;H21;H;21;CDK;Cell Cycle;NA;3
Pacritinib (SB1518);H22;H;22;JAK;JAK/STAT;NA;3
DMSO;H23;H;23;NA;NA;NA;3
DMSO;H24;H;24;NA;NA;NA;3
AZD5438;I01;I;1;CDK;Cell Cycle;NA;3
D 4476;I02;I;2;CK;Metabolism;NA;3
GSK2126458 (GSK458);I03;I;3;PI3K, mTOR;PI3K/Akt/mTOR;NA;3
DMSO;I04;I;4;NA;NA;NA;3
AS-604850;I05;I;5;PI3K;PI3K/Akt/mTOR;NA;3
AMG319;I06;I;6;PI3K;PI3K/Akt/mTOR;NA;3
A-769662;I07;I;7;AMPK;PI3K/Akt/mTOR;NA;3
DMSO;I08;I;8;NA;NA;NA;3
Dacomitinib (PF299804, PF299);I09;I;9;EGFR;Protein Tyrosine Kinase;NA;3
GSK2636771;I10;I;10;PI3K;PI3K/Akt/mTOR;NA;3
AZ 628;I11;I;11;Raf;MAPK;NA;3
DMSO;I12;I;12;NA;NA;NA;3
3-Methyladenine;I13;I;13;PI3K;PI3K/Akt/mTOR;NA;3
ETP-46464;I14;I;14;mTOR;PI3K/Akt/mTOR;NA;3
Sotrastaurin;I15;I;15;PKC;TGF-beta/Smad;NA;3
DMSO;I16;I;16;NA;NA;NA;3
Tyrphostin AG 879;I17;I;17;HER2;Protein Tyrosine Kinase;NA;3
DMSO;I18;I;18;NA;NA;NA;3
Golvatinib (E7050);I19;I;19;c-Met, VEGFR;Protein Tyrosine Kinase;NA;3
DMSO;I20;I;20;NA;NA;NA;3
ZM 323881 HCl;I21;I;21;VEGFR;Protein Tyrosine Kinase;NA;3
DMSO;I22;I;22;NA;NA;NA;3
DMSO;I23;I;23;NA;NA;NA;3
DMSO;I24;I;24;NA;NA;NA;3
CHIR-99021 (CT99021) HCl;J01;J;1;PI3K/Akt/mTOR;PI3K/Akt/mTOR;NA;3
Vismodegib (GDC-0449);J02;J;2;Hedgehog, P-gp;Neuronal Signaling;NA;3
SC-514;J03;J;3;I_B/IKK;NF-_B;NA;3
SB525334;J04;J;4;TGF-beta/Smad;TGF-beta/Smad;NA;3
VS-5584 (SB2343);J05;J;5;PI3K;PI3K/Akt/mTOR;NA;3
Taladegib (LY2940680);J06;J;6;Hedgehog,Hedgehog/Smoothened;Stem Cells &  Wnt;NA;3
PP1;J07;J;7;Src;Angiogenesis;NA;3
Hesperetin;J08;J;8;Histamine Receptor;TGF-beta/Smad;NA;3
IPA-3;J09;J;9;PAK;Cytoskeletal Signaling;NA;3
YO-01027;J10;J;10;Gamma-secretase;Proteases;NA;3
CGK 733;J11;J;11;ATM/ATR;DNA Damage;NA;3
Sotrastaurin;J12;J;12;PKC;TGF-beta/Smad;NA;3
GZD824;J13;J;13;Bcr-Abl;Angiogenesis;NA;3
CHIR-99021 (CT99021) HCl;J14;J;14;PI3K/Akt/mTOR;PI3K/Akt/mTOR;NA;3
Ro3280;J15;J;15;PLK;Cell Cycle;NA;3
LGK-974;J16;J;16;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
AZD9291;J17;J;17;EGFR;Protein Tyrosine Kinase;NA;3
AZD2858;J18;J;18;GSK-3;PI3K/Akt/mTOR;NA;3
HS-173;J19;J;19;PI3K;PI3K/Akt/mTOR;NA;3
HO-3867;J20;J;20;STAT;JAK/STAT;NA;3
Uprosertib (GSK2141795);J21;J;21;Akt;PI3K/Akt/mTOR;NA;3
Wnt agonist 1;J22;J;22;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
DMSO;J23;J;23;NA;NA;NA;3
DMSO;J24;J;24;NA;NA;NA;3
PP121;K01;K;1;DNA-PK, mTOR, PDGF;Protein Tyrosine Kinase;NA;3
PF-431396;K02;K;2;FAK;Angiogenesis;NA;3
WYE-125132 (WYE-132);K03;K;3;mTOR;PI3K/Akt/mTOR;NA;3
DMSO;K04;K;4;NA;NA;NA;3
CAY10505;K05;K;5;PI3K;PI3K/Akt/mTOR;NA;3
SGI-7079;K06;K;6;VEGFR;Protein Tyrosine Kinase;NA;3
CH5132799;K07;K;7;PI3K, mTOR;PI3K/Akt/mTOR;NA;3
DMSO;K08;K;8;NA;NA;NA;3
AG-1478 (Tyrphostin AG-1478);K09;K;9;EGFR;Protein Tyrosine Kinase;NA;3
PQ 401;K10;K;10;IGF-1R;Protein Tyrosine Kinase;NA;3
AMG-458;K11;K;11;c-Met;Protein Tyrosine Kinase;NA;3
DMSO;K12;K;12;NA;NA;NA;3
Dinaciclib (SCH727965);K13;K;13;CDK;Cell Cycle;NA;3
ASP3026;K14;K;14;ALK;Protein Tyrosine Kinase;NA;3
WP1066;K15;K;15;JAK;JAK/STAT;NA;3
DMSO;K16;K;16;NA;NA;NA;3
Torin 2;K17;K;17;mTOR;PI3K/Akt/mTOR;NA;3
DMSO;K18;K;18;NA;NA;NA;3
IMD 0354;K19;K;19;IKK;NF-_B;NA;3
DMSO;K20;K;20;NA;NA;NA;3
ZM 306416;K21;K;21;VEGFR;Protein Tyrosine Kinase;NA;3
DMSO;K22;K;22;NA;NA;NA;3
DMSO;K23;K;23;NA;NA;NA;3
DMSO;K24;K;24;NA;NA;NA;3
TDZD-8;L01;L;1;GSK-3;PI3K/Akt/mTOR;NA;3
AT9283;L02;L;2;Bcr-Abl, JAK, Aurora Kinase;Others;NA;3
Tofacitinib (CP-690550) Citrate;L03;L;3;JAK;JAK/STAT;NA;3
LY2811376;L04;L;4;5-alpha Reductase;Proteases;NA;3
CZC24832;L05;L;5;PI3K_;PI3K/Akt/mTOR;NA;3
AZD1480;L06;L;6;JAK;JAK/STAT;NA;3
LY2090314;L07;L;7;GSK-3;PI3K/Akt/mTOR;NA;3
Indirubin;L08;L;8;GSK-3;PI3K/Akt/mTOR;NA;3
PF-3758309;L09;L;9;PAK;Cytoskeletal Signaling;NA;3
LY411575;L10;L;10;Gamma-secretase;Proteases;NA;3
AZD1080;L11;L;11;GSK-3;PI3K/Akt/mTOR;NA;3
WP1066;L12;L;12;JAK;JAK/STAT;NA;3
RKI-1447;L13;L;13;ROCK;Cell Cycle;NA;3
Tofacitinib (CP-690550) Citrate;L14;L;14;JAK;JAK/STAT;NA;3
AZD2858;L15;L;15;GSK-3;PI3K/Akt/mTOR;NA;3
AZD1080;L16;L;16;GSK-3;PI3K/Akt/mTOR;NA;3
WZ4003;L17;L;17;AMPK;PI3K/Akt/mTOR;NA;3
PD173955;L18;L;18;Bcr-Abl;Angiogenesis;NA;3
GNE-0877;L19;L;19;leucine-rich repeat kinase 2 (LRRK2);Autophagy;NA;3
GNF-5;L20;L;20;Bcr-Abl;Angiogenesis;NA;3
DDR1-IN-1;L21;L;21;DDR(receptor tyrosine kinase);Others;NA;3
Oclacitinib;L22;L;22;JAK;JAK/STAT;NA;3
DMSO;L23;L;23;NA;NA;NA;3
DMSO;L24;L;24;NA;NA;NA;3
OSI-027;M01;M;1;mTOR;PI3K/Akt/mTOR;NA;3
GSK2578215A;M02;M;2;LRRK2;Autophagy;NA;3
A-674563;M03;M;3;Akt, CDK, PKA;PI3K/Akt/mTOR;NA;3
DMSO;M04;M;4;NA;NA;NA;3
CHIR-124;M05;M;5;Chk;Cell Cycle;NA;3
Ulixertinib (BVD-523, VRT752271);M06;M;6;ERK;MAPK;NA;3
KX2-391;M07;M;7;Src;Angiogenesis;NA;3
DMSO;M08;M;8;NA;NA;NA;3
SB415286;M09;M;9;GSK-3;PI3K/Akt/mTOR;NA;3
ZM 39923 HCl;M10;M;10;JAK;JAK/STAT;NA;3
BGT226 (NVP-BGT226);M11;M;11;PI3K, mTOR;PI3K/Akt/mTOR;NA;3
DMSO;M12;M;12;NA;NA;NA;3
Dovitinib (TKI-258) Dilactic Acid;M13;M;13;Flt, FGFR, PDGFR, VEGFR, c-Kit;Angiogenesis;NA;3
Pacritinib (SB1518);M14;M;14;JAK;JAK/STAT;NA;3
AZD4547;M15;M;15;FGFR;Angiogenesis;NA;3
DMSO;M16;M;16;NA;NA;NA;3
TAE226 (NVP-TAE226);M17;M;17;FAK;Angiogenesis;NA;3
DMSO;M18;M;18;NA;NA;NA;3
WHI-P154;M19;M;19;JAK, EGFR;JAK/STAT;NA;3
DMSO;M20;M;20;NA;NA;NA;3
GNF-2;M21;M;21;Bcr-Abl;Angiogenesis;NA;3
DMSO;M22;M;22;NA;NA;NA;3
DMSO;M23;M;23;NA;NA;NA;3
DMSO;M24;M;24;NA;NA;NA;3
TAK-715;N01;N;1;p38 MAPK;MAPK;NA;3
AG-490 (Tyrphostin B42);N02;N;2;JAK, EGFR;Others;NA;3
Fingolimod (FTY720) HCl;N03;N;3;S1P Receptor, Bcr-Abl, PKC;GPCR & G Protein;NA;3
Fasudil (HA-1077) HCl;N04;N;4;ROCK;Cell Cycle;NA;3
IPI-145 (INK1197);N05;N;5;PI3K;Angiogenesis;NA;3
LY2784544;N06;N;6;JAK;JAK/STAT;NA;3
MK-8745;N07;N;7;Aurora Kinase;Cell Cycle;NA;3
Quercetin;N08;N;8;PI3K, PKC, Src, Sirtuin;Epigenetics;NA;3
VE-822;N09;N;9;ATM/ATR;PI3K/Akt/mTOR;NA;3
SB415286;N10;N;10;GSK-3;PI3K/Akt/mTOR;NA;3
10058-F4;N11;N;11;c-Myc;Cell Cycle;NA;3
CEP-33779;N12;N;12;JAK;JAK/STAT;NA;3
BIO;N13;N;13;GSK-3;PI3K/Akt/mTOR;NA;3
XL019;N14;N;14;JAK;JAK/STAT;NA;3
CNX-774;N15;N;15;BTK;Angiogenesis;NA;3
1-Azakenpaullone;N16;N;16;GSK-3;PI3K/Akt/mTOR;NA;3
HTH-01-015;N17;N;17;AMPK;PI3K/Akt/mTOR;NA;3
IWP-L6;N18;N;18;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
GNE-9605;N19;N;19;LRRK2;Autophagy;NA;3
Decernotinib (VX-509);N20;N;20;JAK;JAK/STAT;NA;3
JNK Inhibitor IX;N21;N;21;JNK;MAPK;NA;3
PRI-724;N22;N;22;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
DMSO;N23;N;23;NA;NA;NA;3
DMSO;N24;N;24;NA;NA;NA;3
Fostamatinib (R788);O01;O;1;Syk;Angiogenesis;NA;3
AZD6738;O02;O;2;ATM/ATR;PI3K/Akt/mTOR;NA;3
AS-252424;O03;O;3;PI3K;PI3K/Akt/mTOR;NA;3
DMSO;O04;O;4;NA;NA;NA;3
NVP-BSK805 2HCl;O05;O;5;JAK;JAK/STAT;NA;3
LJH685;O06;O;6;S6 Kinase;PI3K/Akt/mTOR;NA;3
GSK1838705A;O07;O;7;IGF-1, ALK;Protein Tyrosine Kinase;NA;3
DMSO;O08;O;8;NA;NA;NA;3
Crenolanib (CP-868596);O09;O;9;PDGFR;Protein Tyrosine Kinase;NA;3
SMI-4a;O10;O;10;Pim;JAK/STAT;NA;3
Milciclib (PHA-848125);O11;O;11;CDK;Cell Cycle;NA;3
DMSO;O12;O;12;NA;NA;NA;3
MK-5108 (VX-689);O13;O;13;Aurora Kinase;Cell Cycle;NA;3
P276-00;O14;O;14;CDK;Cell Cycle;NA;3
CEP-33779;O15;O;15;JAK;JAK/STAT;NA;3
DMSO;O16;O;16;NA;NA;NA;3
Tideglusib;O17;O;17;GSK-3;PI3K/Akt/mTOR;NA;3
DMSO;O18;O;18;NA;NA;NA;3
GW5074;O19;O;19;Raf;MAPK;NA;3
DMSO;O20;O;20;NA;NA;NA;3
S-Ruxolitinib (INCB018424);O21;O;21;JAK;JAK/STAT;NA;3
DMSO;O22;O;22;NA;NA;NA;3
DMSO;O23;O;23;NA;NA;NA;3
DMSO;O24;O;24;NA;NA;NA;3
Pazopanib;P01;P;1;VEGFR;Protein Tyrosine Kinase;NA;3
XAV-939;P02;P;2;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
VX-702;P03;P;3;p38 MAPK;MAPK;NA;3
RO4929097;P04;P;4;Y-Secretase;Proteases;NA;3
XL019;P05;P;5;JAK;JAK/STAT;NA;3
SB505124;P06;P;6;TGF-beta/Smad;TGF-beta/Smad;NA;3
Tepotinib (EMD 1214063);P07;P;7;c-Met;Protein Tyrosine Kinase;NA;3
Astragaloside A;P08;P;8;others;TGF-beta/Smad;NA;3
AZD1208;P09;P;9;Pim;JAK/STAT;NA;3
TG101348 (SAR302503);P10;P;10;JAK;JAK/STAT;NA;3
LY2835219;P11;P;11;CDK;Cell Cycle;NA;3
Baricitinib (LY3009104, INCB028050);P12;P;12;JAK;Epigenetics;NA;3
CNX-2006;P13;P;13;EGFR;Protein Tyrosine Kinase;NA;3
Wnt-C59 (C59);P14;P;14;Wnt/beta-catenin;Stem Cells &  Wnt;NA;3
PD173955;P15;P;15;Bcr-Abl;Angiogenesis;NA;3
RKI-1447;P16;P;16;ROCK;Cell Cycle;NA;3
EHop-016;P17;P;17;Rac;Cell Cycle;NA;3
SH-4-54;P18;P;18;STAT;JAK/STAT;NA;3
Sorafenib;P19;P;19;Raf;MAPK;NA;3
IM-12;P20;P;20;GSK-3;PI3K/Akt/mTOR;NA;3
XMD8-92;P21;P;21;ERK;MAPK;NA;3
DMSO;P22;P;22;NA;NA;NA;3
DMSO;P23;P;23;NA;NA;NA;3
DMSO;P24;P;24;NA;NA;NA;3
ABT-263 (Navitoclax);A01;A;1;Bcl-2;Apoptosis;NA;4
Ondansetron HCl;A02;A;2;5-HT Receptor;Neuronal Signaling;NA;4
Afatinib (BIBW2992);A03;A;3;EGFR;Protein Tyrosine Kinase;NA;4
Tenofovir;A04;A;4;Reverse Transcriptase;Microbiology;NA;4
Imatinib Mesylate (STI571);A05;A;5;PDGFR, c-Kit, Bcr-Abl;Protein Tyrosine Kinase;NA;4
Ranolazine 2HCl;A06;A;6;Calcium Channel;Transmembrane Transporters;NA;4
Sunitinib Malate;A07;A;7;VEGFR, PDGFR, c-Kit, Flt;Microbiology;NA;4
Topiramate;A08;A;8;Carbonic Anhydrase;Metabolism;NA;4
Masitinib (AB1010);A09;A;9;c-Kit, PDGFR, FGFR, FAK;Others;NA;4
Cilomilast;A10;A;10;PDE;Metabolism;NA;4
Quisinostat (JNJ-26481585);A11;A;11;HDAC;Others;NA;4
TSU-68 (SU6668, Orantinib);A12;A;12;VEGFR, PDGFR , FGFR;Protein Tyrosine Kinase;NA;4
YM155 (Sepantronium Bromide);A13;A;13;Survivin;Others;NA;4
Ponatinib (AP24534);A14;A;14;Bcr-Abl, VEGFR, FGFR, PDGFR, Flt;Angiogenesis;NA;4
Roscovitine (Seliciclib,CYC202);A15;A;15;CDK;Others;NA;4
Alprostadil;A16;A;16;Others;Others;NA;4
Ritonavir;A17;A;17;HIV Protease;Proteases;NA;4
Quizartinib (AC220);A18;A;18;Flt;Angiogenesis;NA;4
TAK-700 (Orteronel);A19;A;19;P450;Metabolism;NA;4
VX-809 (Lumacaftor);A20;A;20;Others;Transmembrane Transporters;NA;4
Melatonin;A21;A;21;Others;Others;NA;4
Semagacestat (LY450139);A22;A;22;Gamma-secretase;Proteases;NA;4
Povidone iodine;A23;A;23;others;others;NA;4
Tofacitinib (CP-690550) Citrate;A24;A;24;JAK;JAK/STAT;NA;4
Nelarabine;B01;B;1;DNA/RNA Synthesis;DNA Damage;NA;4
Methimazole;B02;B;2;Others;Others;NA;4
Raloxifene HCl;B03;B;3;Estrogen/progestogen Receptor;Endocrinology & Hormones;NA;4
DMSO;B04;B;4;NA;NA;NA;4
Agomelatine;B05;B;5;5-HT Receptor;Neuronal Signaling;NA;4
Nitazoxanide;B06;B;6;Others;Others;NA;4
Posaconazole;B07;B;7;Others;Others;NA;4
DMSO;B08;B;8;NA;NA;NA;4
Adapalene;B09;B;9;Others;Others;NA;4
Ketorolac;B10;B;10;COX;Neuronal Signaling;NA;4
Bumetanide;B11;B;11;Others;Others;NA;4
