Drug;Line;Pathway;Target;Enriched.Target;is.pathway.enriched;is.target.enriched
BGT226 (NVP-BGT226);D004T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
BI 2536;D004T01;Others;PLK;NA;FALSE;FALSE
BKM120 (NVP-BKM120, Buparlisib);D004T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
BMS-536924;D004T01;Protein Tyrosine Kinase;IGF-1R;NA;TRUE;FALSE
BMS-754807;D004T01;Others;IGF-1R;NA;FALSE;FALSE
Bortezomib__0.2;D004T01;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D004T01;NA;PSMB1;NA;FALSE;FALSE
Bosutinib (SKI-606);D004T01;Angiogenesis;Src;src;TRUE;TRUE
BX-912;D004T01;PI3K/Akt/mTOR;PDK-1;NA;FALSE;FALSE
BYL719;D004T01;PI3K/Akt/mTOR;PI3K;pi3k;TRUE;TRUE
CC-223;D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Cediranib (AZD2171);D004T01;Protein Tyrosine Kinase;VEGFR, Flt;flt;TRUE;TRUE
CH5132799;D004T01;PI3K/Akt/mTOR;PI3K, mTOR;mtor;TRUE;TRUE
CHIR-124;D004T01;Cell Cycle;Chk;NA;FALSE;FALSE
CHIR-98014;D004T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
CHIR-99021 (CT99021);D004T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
CHIR-99021 (CT99021) HCl;D004T01;PI3K/Akt/mTOR;PI3K, Akt, mTOR;NA;FALSE;FALSE
Cobimetinib (GDC-0973, RG7420);D004T01;MAPK;MEK;NA;TRUE;FALSE
CP-673451;D004T01;Protein Tyrosine Kinase;PDGFR;pdgfr;FALSE;TRUE
Crenolanib (CP-868596);D004T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crizotinib (PF-02341066);D004T01;Others;c-Met, ALK;alk;FALSE;TRUE
CUDC-101;D004T01;Epigenetics;HDAC, EGFR, HER2;NA;FALSE;FALSE
CUDC-907;D004T01;Cytoskeletal Signaling;HDAC, PI3K;NA;FALSE;FALSE
CYC116;D004T01;Cell Cycle;Aurora Kinase, VEGFR;aurora kinase;FALSE;TRUE
Danusertib (PHA-739358);D004T01;Others;Aurora Kinase, FGFR, Bcr-Abl, c-RET, Src;fgfr;FALSE;TRUE
Dasatinib;D004T01;Angiogenesis;Src, Bcr-Abl, c-Kit;src;TRUE;TRUE
DCC-2036 (Rebastinib);D004T01;Angiogenesis;Bcr-Abl;NA;FALSE;FALSE
Dinaciclib (SCH727965);D004T01;Cell Cycle;CDK;NA;FALSE;FALSE
Dovitinib (TKI-258, CHIR-258);D004T01;Angiogenesis;c-Kit, FGFR, Flt, VEGFR, PDGFR;fgfr;FALSE;TRUE
Dovitinib (TKI-258) Dilactic Acid;D004T01;Angiogenesis;Flt, FGFR, PDGFR, VEGFR, c-Kit;flt;FALSE;TRUE
ENMD-2076;D004T01;Angiogenesis;Flt, Aurora Kinase, VEGFR;NA;FALSE;FALSE
Flavopiridol (Alvocidib);D004T01;Cell Cycle;CDK;cdk;FALSE;TRUE
Flavopiridol HCl;D004T01;Cell Cycle;CDK;NA;FALSE;FALSE
GDC-0980 (RG7422);D004T01;PI3K/Akt/mTOR;mTOR, PI3K;mtor;TRUE;TRUE
Gefitinib (ZD1839);D004T01;Protein Tyrosine Kinase;EGFR;egfr;FALSE;TRUE
GF109203X;D004T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Golvatinib (E7050);D004T01;Protein Tyrosine Kinase;c-Met, VEGFR;NA;FALSE;FALSE
GSK1838705A;D004T01;Protein Tyrosine Kinase;IGF-1, ALK;NA;FALSE;FALSE
GSK2126458 (GSK458);D004T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
GSK2334470;D004T01;PI3K/Akt/mTOR;PDK-1;NA;TRUE;FALSE
GSK461364;D004T01;Cell Cycle;PLK;NA;FALSE;FALSE
GZD824;D004T01;Angiogenesis;Bcr-Abl;NA;FALSE;FALSE
Hesperadin;D004T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
HMN-214;D004T01;Cell Cycle;PLK;NA;FALSE;FALSE
HS-173;D004T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
IKK-16 (IKK Inhibitor VII);D004T01;NF-_B;IKK;NA;FALSE;FALSE
IMD 0354;D004T01;NF-_B;IKK;NA;FALSE;FALSE
INK 128 (MLN0128);D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Irinotecan / SN-38__0.2;D004T01;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D004T01;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D004T01;Cell Cycle;CDK, Aurora Kinase;NA;FALSE;FALSE
JNK Inhibitor IX;D004T01;MAPK;JNK;NA;FALSE;FALSE
KU-0063794;D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
KW-2449;D004T01;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;NA;FALSE;FALSE
KX2-391;D004T01;Angiogenesis;Src;NA;FALSE;FALSE
Lapatinib (GW-572016) Ditosylate;D004T01;Protein Tyrosine Kinase;EGFR, HER2;egfr;FALSE;TRUE
LDC000067;D004T01;Cell Cycle;CDK;NA;FALSE;FALSE
LDK378;D004T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
Linifanib (ABT-869);D004T01;Protein Tyrosine Kinase;PDGFR, VEGFR;pdgfr;FALSE;TRUE
LY2090314;D004T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
LY2835219;D004T01;Cell Cycle;CDK;NA;FALSE;FALSE
LY3023414;D004T01;PI3K/Akt/mTOR;Akt;akt;FALSE;TRUE
MEK162 (ARRY-162, ARRY-438162);D004T01;MAPK;MEK;NA;FALSE;FALSE
Milciclib (PHA-848125);D004T01;Cell Cycle;CDK;NA;FALSE;FALSE
MK-8745;D004T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
Mubritinib (TAK 165);D004T01;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
NVP-AEW541;D004T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
OSI-027;D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
P276-00;D004T01;Cell Cycle;CDK;NA;FALSE;FALSE
Pacritinib (SB1518);D004T01;JAK/STAT;JAK;NA;FALSE;FALSE
PD0325901;D004T01;DNA Damage;MEK;mek;FALSE;TRUE
PD184352 (CI-1040);D004T01;MAPK;MEK;NA;TRUE;FALSE
PD318088;D004T01;MAPK;MEK;mek;TRUE;TRUE
Pelitinib (EKB-569);D004T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
PF-00562271;D004T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-04691502;D004T01;PI3K/Akt/mTOR;mTOR, PI3K, Akt;akt;FALSE;TRUE
PF-3758309;D004T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-431396;D004T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-543;D004T01;GPCR & G Protein;SphK1;NA;FALSE;FALSE
PF-562271;D004T01;Angiogenesis;FAK;NA;FALSE;FALSE
PHA-767491;D004T01;Cell Cycle;CDK;cdk;TRUE;TRUE
PIK-93;D004T01;PI3K/Akt/mTOR;PI3K, VEGFR;NA;FALSE;FALSE
Pimasertib (AS-703026);D004T01;MAPK;MEK;mek;TRUE;TRUE
Ponatinib (AP24534);D004T01;Angiogenesis;Bcr-Abl, VEGFR, FGFR, PDGFR, Flt;flt;FALSE;TRUE
PP121;D004T01;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;NA;FALSE;FALSE
PP242;D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
PRT062607 (P505-15, BIIB057) HCl;D004T01;Angiogenesis;Syk;NA;FALSE;FALSE
R547;D004T01;Cell Cycle;CDK;cdk;TRUE;TRUE
RAF265 (CHIR-265);D004T01;MAPK;Raf, VEGFR;NA;TRUE;FALSE
Refametinib (RDEA119, Bay 86-9766);D004T01;Others;MEK;NA;FALSE;FALSE
Rigosertib (ON-01910);D004T01;Cell Cycle;PLK;NA;FALSE;FALSE
Ro 31-8220 Mesylate;D004T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Ro3280;D004T01;Cell Cycle;PLK;NA;FALSE;FALSE
Saracatinib (AZD0530);D004T01;Angiogenesis;Src, Bcr-Abl;src;TRUE;TRUE
SC1;D004T01;MAPK;ERK;erk;TRUE;TRUE
Selumetinib (AZD6244);D004T01;MAPK;MEK;mek;TRUE;TRUE
SGI-1776 free base;D004T01;JAK/STAT;Pim;NA;TRUE;FALSE
SGI-7079;D004T01;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
SNS-032 (BMS-387032);D004T01;Others;CDK;cdk;FALSE;TRUE
Staurosporine_500nM;D004T01;NA;NA;NA;FALSE;FALSE
TAE226 (NVP-TAE226);D004T01;Angiogenesis;FAK;NA;FALSE;FALSE
TAK-733;D004T01;MAPK;MEK;NA;TRUE;FALSE
Tepotinib (EMD 1214063);D004T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
TG101209;D004T01;JAK/STAT;Flt, JAK, c-RET;jak;TRUE;TRUE
TG101348 (SAR302503);D004T01;JAK/STAT;JAK;jak;TRUE;TRUE
Tivantinib (ARQ 197);D004T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
Torin 2;D004T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
Trametinib (GSK1120212);D004T01;MAPK;MEK;NA;FALSE;FALSE
Triciribine;D004T01;Others;Akt;akt;FALSE;TRUE
Tyrphostin 9;D004T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
U0126-EtOH;D004T01;Others;MEK;NA;FALSE;FALSE
Ulixertinib (BVD-523, VRT752271);D004T01;MAPK;ERK;erk;TRUE;TRUE
Uprosertib (GSK2141795);D004T01;PI3K/Akt/mTOR;Akt;akt;FALSE;TRUE
Vacquinol-1;D004T01;MAPK;JNK;NA;TRUE;FALSE
VE-822;D004T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
VS-5584 (SB2343);D004T01;PI3K/Akt/mTOR;PI3K;pi3k;TRUE;TRUE
VX-11e;D004T01;MAPK;ERK;erk;TRUE;TRUE
VX-680 (Tozasertib, MK-0457);D004T01;Endocrinology & Hormones;Aurora Kinase;NA;FALSE;FALSE
Wnt agonist 1;D004T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
WYE-125132 (WYE-132);D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
WYE-354;D004T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
A-674563;D010T01;PI3K/Akt/mTOR;Akt, CDK, PKA;NA;FALSE;FALSE
AC480 (BMS-599626);D010T01;Neuronal Signaling;HER2;NA;FALSE;FALSE
AG-1478 (Tyrphostin AG-1478);D010T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
AP26113;D010T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AT7519;D010T01;Cell Cycle;CDK;cdk;TRUE;TRUE
AT7867;D010T01;PI3K/Akt/mTOR;Akt, S6 kinase;NA;FALSE;FALSE
AT9283;D010T01;Others;Bcr-Abl, JAK, Aurora Kinase;NA;FALSE;FALSE
AZ 628;D010T01;MAPK;Raf;NA;FALSE;FALSE
AZD1080;D010T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
AZD2014;D010T01;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
AZD2858;D010T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
AZD3463;D010T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AZD3759;D010T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
AZD5363;D010T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
AZD5438;D010T01;Cell Cycle;CDK;cdk;TRUE;TRUE
AZD7762;D010T01;Cell Cycle;Chk;NA;FALSE;FALSE
AZD8055;D010T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
AZD8330;D010T01;MAPK;MEK;NA;FALSE;FALSE
AZD8931 (Sapitinib);D010T01;Protein Tyrosine Kinase;EGFR, HER2;egfr;TRUE;TRUE
BGT226 (NVP-BGT226);D010T01;PI3K/Akt/mTOR;PI3K, mTOR;pi3k;FALSE;TRUE
BI 2536;D010T01;Others;PLK;NA;FALSE;FALSE
BKM120 (NVP-BKM120, Buparlisib);D010T01;PI3K/Akt/mTOR;PI3K;pi3k;TRUE;TRUE
BMS-536924;D010T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
BMS-754807;D010T01;Others;IGF-1R;NA;FALSE;FALSE
Bortezomib__0.2;D010T01;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D010T01;NA;PSMB1;NA;FALSE;FALSE
CHIR-124;D010T01;Cell Cycle;Chk;NA;FALSE;FALSE
CHIR-98014;D010T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
CHIR-99021 (CT99021) HCl;D010T01;PI3K/Akt/mTOR;PI3K, Akt, mTOR;NA;FALSE;FALSE
Cobimetinib (GDC-0973, RG7420);D010T01;MAPK;MEK;mek;TRUE;TRUE
Crizotinib (PF-02341066);D010T01;Others;c-Met, ALK;NA;FALSE;FALSE
CUDC-101;D010T01;Epigenetics;HDAC, EGFR, HER2;NA;FALSE;FALSE
CUDC-907;D010T01;Cytoskeletal Signaling;HDAC, PI3K;NA;FALSE;FALSE
Dacomitinib (PF299804, PF299);D010T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
Dinaciclib (SCH727965);D010T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Dovitinib (TKI-258, CHIR-258);D010T01;Angiogenesis;c-Kit, FGFR, Flt, VEGFR, PDGFR;NA;FALSE;FALSE
Flavopiridol (Alvocidib);D010T01;Cell Cycle;CDK;NA;FALSE;FALSE
Flavopiridol HCl;D010T01;Cell Cycle;CDK;NA;FALSE;FALSE
Fostamatinib (R788);D010T01;Angiogenesis;Syk;NA;FALSE;FALSE
GDC-0980 (RG7422);D010T01;PI3K/Akt/mTOR;mTOR, PI3K;mtor;FALSE;TRUE
Gefitinib (ZD1839);D010T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
GF109203X;D010T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Golvatinib (E7050);D010T01;Protein Tyrosine Kinase;c-Met, VEGFR;NA;FALSE;FALSE
GSK2126458 (GSK458);D010T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
GSK690693;D010T01;Others;Akt;NA;FALSE;FALSE
HS-173;D010T01;PI3K/Akt/mTOR;PI3K;pi3k;TRUE;TRUE
Imatinib Mesylate (STI571);D010T01;Protein Tyrosine Kinase;PDGFR, c-Kit, Bcr-Abl;NA;FALSE;FALSE
INK 128 (MLN0128);D010T01;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
Irinotecan / SN-38__0.2;D010T01;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D010T01;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D010T01;Cell Cycle;CDK, Aurora Kinase;NA;FALSE;FALSE
KW-2449;D010T01;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;NA;FALSE;FALSE
LDN-214117;D010T01;TGF-beta/Smad;TGF-beta, Smad;NA;FALSE;FALSE
LY2090314;D010T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
LY2835219;D010T01;Cell Cycle;CDK;NA;FALSE;FALSE
LY3023414;D010T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
MEK162 (ARRY-162, ARRY-438162);D010T01;MAPK;MEK;NA;FALSE;FALSE
Milciclib (PHA-848125);D010T01;Cell Cycle;CDK;NA;FALSE;FALSE
Mubritinib (TAK 165);D010T01;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
NVP-AEW541;D010T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
OSI-420;D010T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
P276-00;D010T01;Cell Cycle;CDK;cdk;TRUE;TRUE
Pacritinib (SB1518);D010T01;JAK/STAT;JAK;NA;FALSE;FALSE
PD0325901;D010T01;DNA Damage;MEK;mek;FALSE;TRUE
PD184352 (CI-1040);D010T01;MAPK;MEK;NA;FALSE;FALSE
PD318088;D010T01;MAPK;MEK;NA;FALSE;FALSE
Pelitinib (EKB-569);D010T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
PF-00562271;D010T01;Angiogenesis;FAK;NA;FALSE;FALSE
PF-3758309;D010T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-4708671;D010T01;PI3K/Akt/mTOR;S6 Kinase;NA;FALSE;FALSE
PF-562271;D010T01;Angiogenesis;FAK;NA;FALSE;FALSE
PHA-767491;D010T01;Cell Cycle;CDK;cdk;TRUE;TRUE
PHA-793887;D010T01;Cell Cycle;CDK;cdk;TRUE;TRUE
PIK-93;D010T01;PI3K/Akt/mTOR;PI3K, VEGFR;pi3k;FALSE;TRUE
Pimasertib (AS-703026);D010T01;MAPK;MEK;mek;FALSE;TRUE
PP121;D010T01;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;mtor;FALSE;TRUE
PP242;D010T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
R547;D010T01;Cell Cycle;CDK;cdk;TRUE;TRUE
RAF265 (CHIR-265);D010T01;MAPK;Raf, VEGFR;NA;FALSE;FALSE
Refametinib (RDEA119, Bay 86-9766);D010T01;Others;MEK;mek;FALSE;TRUE
Ridaforolimus (Deforolimus, MK-8669);D010T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
Rigosertib (ON-01910);D010T01;Cell Cycle;PLK;NA;FALSE;FALSE
Ro 31-8220 Mesylate;D010T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Saracatinib (AZD0530);D010T01;Angiogenesis;Src, Bcr-Abl;NA;FALSE;FALSE
SC1;D010T01;MAPK;ERK;NA;FALSE;FALSE
Selumetinib (AZD6244);D010T01;MAPK;MEK;NA;FALSE;FALSE
SGI-7079;D010T01;Protein Tyrosine Kinase;VEGFR;NA;TRUE;FALSE
SNS-032 (BMS-387032);D010T01;Others;CDK;NA;FALSE;FALSE
Staurosporine_500nM;D010T01;NA;NA;NA;FALSE;FALSE
SU11274;D010T01;Neuronal Signaling;c-Met;NA;FALSE;FALSE
TAE226 (NVP-TAE226);D010T01;Angiogenesis;FAK;NA;FALSE;FALSE
TAK-733;D010T01;MAPK;MEK;mek;TRUE;TRUE
Tepotinib (EMD 1214063);D010T01;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
TG101209;D010T01;JAK/STAT;Flt, JAK, c-RET;NA;FALSE;FALSE
TG101348 (SAR302503);D010T01;JAK/STAT;JAK;NA;FALSE;FALSE
Torin 2;D010T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
Trametinib (GSK1120212);D010T01;MAPK;MEK;mek;TRUE;TRUE
Triciribine;D010T01;Others;Akt;NA;FALSE;FALSE
Ulixertinib (BVD-523, VRT752271);D010T01;MAPK;ERK;NA;FALSE;FALSE
Uprosertib (GSK2141795);D010T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
VPS34-IN1;D010T01;PI3K/Akt/mTOR;PI3K;pi3k;TRUE;TRUE
VS-5584 (SB2343);D010T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
VX-11e;D010T01;MAPK;ERK;NA;FALSE;FALSE
WYE-125132 (WYE-132);D010T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
A-674563;D013T01;PI3K/Akt/mTOR;Akt, CDK, PKA;cdk;FALSE;TRUE
AEE788 (NVP-AEE788);D013T01;Protein Tyrosine Kinase;EGFR, Flt, VEGFR, HER2;egfr;TRUE;TRUE
AG-1478 (Tyrphostin AG-1478);D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Alisertib (MLN8237);D013T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
AP26113;D013T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AST-1306;D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
AT7519;D013T01;Cell Cycle;CDK;NA;FALSE;FALSE
AT9283;D013T01;Others;Bcr-Abl, JAK, Aurora Kinase;NA;FALSE;FALSE
AZ20;D013T01;PI3K/Akt/mTOR;ATM, ATR;atm;FALSE;TRUE
AZD1480;D013T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZD2858;D013T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
AZD3463;D013T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AZD3759;D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
AZD5363;D013T01;PI3K/Akt/mTOR;Akt;akt;TRUE;TRUE
AZD5438;D013T01;Cell Cycle;CDK;cdk;TRUE;TRUE
AZD6738;D013T01;PI3K/Akt/mTOR;ATM, ATR;atm;FALSE;TRUE
AZD7762;D013T01;Cell Cycle;Chk;NA;FALSE;FALSE
AZD8055;D013T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD8330;D013T01;MAPK;MEK;mek;TRUE;TRUE
AZD8931 (Sapitinib);D013T01;Protein Tyrosine Kinase;EGFR, HER2;NA;FALSE;FALSE
AZD9291;D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Barasertib (AZD1152-HQPA);D013T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
BGT226 (NVP-BGT226);D013T01;PI3K/Akt/mTOR;PI3K, mTOR;pi3k;FALSE;TRUE
BI 2536;D013T01;Others;PLK;plk;FALSE;TRUE
BKM120 (NVP-BKM120, Buparlisib);D013T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
BMS-536924;D013T01;Protein Tyrosine Kinase;IGF-1R;igf-1r;FALSE;TRUE
BMS-754807;D013T01;Others;IGF-1R;igf-1r;FALSE;TRUE
Bortezomib__0.2;D013T01;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D013T01;NA;PSMB1;NA;FALSE;FALSE
Bosutinib (SKI-606);D013T01;Angiogenesis;Src;NA;FALSE;FALSE
BX-912;D013T01;PI3K/Akt/mTOR;PDK-1;NA;FALSE;FALSE
CC-223;D013T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
CHIR-124;D013T01;Cell Cycle;Chk;NA;FALSE;FALSE
CHIR-98014;D013T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
CNX-2006;D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Crenolanib (CP-868596);D013T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crizotinib (PF-02341066);D013T01;Others;c-Met, ALK;NA;FALSE;FALSE
CUDC-101;D013T01;Epigenetics;HDAC, EGFR, HER2;NA;FALSE;FALSE
CUDC-907;D013T01;Cytoskeletal Signaling;HDAC, PI3K;pi3k;FALSE;TRUE
CYC116;D013T01;Cell Cycle;Aurora Kinase, VEGFR;aurora kinase;FALSE;TRUE
Dacomitinib (PF299804, PF299);D013T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
Danusertib (PHA-739358);D013T01;Others;Aurora Kinase, FGFR, Bcr-Abl, c-RET, Src;aurora kinase;FALSE;TRUE
Dasatinib;D013T01;Angiogenesis;Src, Bcr-Abl, c-Kit;bcr-abl;FALSE;TRUE
Dinaciclib (SCH727965);D013T01;Cell Cycle;CDK;NA;FALSE;FALSE
Dovitinib (TKI-258) Dilactic Acid;D013T01;Angiogenesis;Flt, FGFR, PDGFR, VEGFR, c-Kit;NA;FALSE;FALSE
ENMD-2076;D013T01;Angiogenesis;Flt, Aurora Kinase, VEGFR;NA;FALSE;FALSE
ERK5-IN-1;D013T01;MAPK;ERK;NA;FALSE;FALSE
FH535;D013T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
Flavopiridol (Alvocidib);D013T01;Cell Cycle;CDK;NA;FALSE;FALSE
Flavopiridol HCl;D013T01;Cell Cycle;CDK;NA;FALSE;FALSE
FRAX597;D013T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
GDC-0349;D013T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
GDC-0980 (RG7422);D013T01;PI3K/Akt/mTOR;mTOR, PI3K;pi3k;FALSE;TRUE
Gefitinib (ZD1839);D013T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Golvatinib (E7050);D013T01;Protein Tyrosine Kinase;c-Met, VEGFR;NA;FALSE;FALSE
GSK1838705A;D013T01;Protein Tyrosine Kinase;IGF-1, ALK;NA;FALSE;FALSE
GSK2126458 (GSK458);D013T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
GSK2292767;D013T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
GSK461364;D013T01;Cell Cycle;PLK;plk;FALSE;TRUE
GZD824;D013T01;Angiogenesis;Bcr-Abl;NA;FALSE;FALSE
Hesperadin;D013T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
HMN-214;D013T01;Cell Cycle;PLK;plk;FALSE;TRUE
HS-173;D013T01;PI3K/Akt/mTOR;PI3K;pi3k;FALSE;TRUE
HTH-01-015;D013T01;PI3K/Akt/mTOR;AMPK;NA;FALSE;FALSE
IKK-16 (IKK Inhibitor VII);D013T01;NF-_B;IKK;NA;FALSE;FALSE
Imatinib Mesylate (STI571);D013T01;Protein Tyrosine Kinase;PDGFR, c-Kit, Bcr-Abl;NA;TRUE;FALSE
IMD 0354;D013T01;NF-_B;IKK;NA;FALSE;FALSE
INK 128 (MLN0128);D013T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Irinotecan / SN-38__0.2;D013T01;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D013T01;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D013T01;Cell Cycle;CDK, Aurora Kinase;NA;FALSE;FALSE
JNK Inhibitor IX;D013T01;MAPK;JNK;NA;FALSE;FALSE
JNK-IN-8;D013T01;MAPK;JNK;NA;FALSE;FALSE
KU-0063794;D013T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
KW-2449;D013T01;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;bcr-abl;FALSE;TRUE
KX2-391;D013T01;Angiogenesis;Src;NA;FALSE;FALSE
LDK378;D013T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
LY2090314;D013T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
LY2603618;D013T01;Cell Cycle;Chk;NA;TRUE;FALSE
LY2835219;D013T01;Cell Cycle;CDK;NA;FALSE;FALSE
LY3023414;D013T01;PI3K/Akt/mTOR;Akt;akt;TRUE;TRUE
Milciclib (PHA-848125);D013T01;Cell Cycle;CDK;cdk;TRUE;TRUE
MK-2206 2HCl;D013T01;Others;Akt;akt;FALSE;TRUE
Mubritinib (TAK 165);D013T01;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
